"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"raster, vector, tabular","10.7927/5THT-JG22","Daily 8-Hour Maximum and Annual O3 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000 – 2016)","","Requia, W. J.|Wei, Y.|Shtein, A.|Xing, X.|Castro, E.|Di, Q.|Silvern, R.|Kelly, J.T.|Koutrakis, P.|Mickley, L. J. |Sulprizio, M. P.|Amini, H.|Hultquist, C.|Shi, L.|Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-o3-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H40Z716C","U.S. Census Grids (Summary File 1), 2010","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/usgrid-summary-file1-2010","Active","Socioeconomic Data and Applications Center",""
"raster, vector, tabular","10.7927/RZ28-P167","Daily and Annual NO2 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000 - 2016)","","Di, Q.|Wei, Y.|Shtein, A.|Xing, X.|Amini, H.|Hultquist, C.|Shi, L.|Kloog, I.|Silvern, R.|Kelly, J.|Sabath, M. B.|Choirat, C.|Koutrakis, P.|Lyapustin, A.|Wang, Y.|Mickley, L. J. |Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-no2-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster, vector, tabular","10.7927/G2N9-CA10","Daily and Annual PM2.5 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000-2016)","","Di, Q.|Wei, Y.|Shtein, A.|Xing, X.|Castro, E.|Amini, H.|Hultquist, C.|Shi, L.|Kloog, I.|Silvern, R.|Kelly, J.|Sabath, M. B.|Choirat, C.|Koutrakis, P.|Lyapustin, A.|Wang, Y.|Mickley, L. J. |Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-pm2-5-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/M30P-J498","Global One-Eighth Degree Population Base Year and Projection Grids for the Shared Socioeconomic Pathways (SSPs), Revision 01","","Jones, B.|O'Neill, B. C.|Gao, J.","NASA Socioeconomic Data and Applications Center","2020","https://sedac.ciesin.columbia.edu/data/set/popdynamics-1-8th-pop-base-year-projection-ssp-2000-2100-rev01","Active","Socioeconomic Data and Applications Center",""
"file geodatabase; vector","10.7927/H4VD6WCT","Global Roads Open Access Data Set, Version 1 (gROADSv1)","","Center For International Earth Science Information Network-CIESIN-Columbia University|Information Technology Outreach Services-ITOS-University Of Georgia","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/groads-global-roads-open-access-v1","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4DN434S","Global Human Built-up And Settlement Extent (HBASE) Dataset From Landsat","","Wang, P.|Huang, C.|Brown de Colstoun, E.C.|Tilton, J.C.|Tan, B.","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/ulandsat-hbase-v1","Active","Socioeconomic Data and Applications Center",""
"raster; map services","10.7927/H4P55KKF","Global Man-made Impervious Surface (GMIS) Dataset From Landsat","","Brown de Colstoun, E.C.|Huang, C.|Wang, P.|Tilton, J.C.|Tan, B.|Phillips, J.|Niemczura, S.|Ling, P.-Y.|Wolfe, R.E.","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/ulandsat-gmis-v1","Active","Socioeconomic Data and Applications Center",""
"raster, vector, map, map service","10.7927/H4TD9VDP","Gridded Population of the World, Version 4 (GPWv4): National Identifier Grid, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-national-identifier-grid-rev11","Active","Socioeconomic Data and Applications Center",""
"raster, map","10.7927/6S2A-9R49","U.S. Social Vulnerability Index Grids","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://beta.sedac.ciesin.columbia.edu/data/set/usgrid-us-social-vulnerability-index","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/FJR9-A973","Documentation for the U.S. Social Vulnerability Index Grids","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://beta.sedac.ciesin.columbia.edu/data/set/usgrid-us-social-vulnerability-index/docs","Active","Socioeconomic Data and Applications Center",""
"vector; tabular; database; map","10.7927/H4F47M2C","Gridded Population of the World, Version 4 (GPWv4): Administrative Unit Center Points with Population Estimates","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-admin-unit-center-points-population-estimates","Active","Socioeconomic Data and Applications Center",""
"document, tabular, map, map services","10.7927/H4X928CF","2018 Environmental Performance Index","","Yale Center For Environmental Law And Policy-YCELP-Yale University| Center For International Earth Science Information Network-CIESIN-Columbia University| World Economic Forum-WEF","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/epi-environmental-performance-index-2018","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4HX19NJ","Gridded Population of the World, Version 4 (GPWv4): Population Density Adjusted to Match 2015 Revision of UN WPP Country Totals","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/H4JW8BX5","Gridded Population of the World, Version 4 (GPWv4): Population Count, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-rev11","Active","Socioeconomic Data and Applications Center",""
"database","10.7927/W6W3-3896","Sub-global Scenarios that Extend the Global SSP Narratives: Literature Database, Version 1, 2014-2021","","Pedde, S.|Johnson, O.|Carlsen, H.|Kemp-Benedict, E.|Kok, K.|Talebian, S.|Xing, X.","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/ssp-sub-global-scenarios-extend-ssp-narratives-literature-db-v1","Active","Socioeconomic Data and Applications Center",""
"raster, map","10.7927/2EV1-G103","U.S. Social Vulnerability Index Grids, Revision 01","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/usgrid-us-social-vulnerability-index-rev01","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/PTA9-2980","Documentation for the U.S. Social Vulnerability Index Grids, Revision 01","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/usgrid-us-social-vulnerability-index-rev01/docs","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/H49C6VHW","Gridded Population of the World, Version 4 (GPWv4): Population Density, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-density-rev11","Active","Socioeconomic Data and Applications Center",""
"raster; map; map services","10.7927/H4ZK5DQS","Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) with GWR, 1998-2016","","vanDonkelaar, A.|Martin, R.V.|Brauer, M.|Hsu, N.C.|Kahn, R.A.|Levy, R.C.|Lyapustin, A.|Sayer, A.M.|Winker, D.M.","NASA Socioeconomic Data and Applications Center","2018","https://beta.sedac.ciesin.columbia.edu/data/set/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/KD8B-2376","Global Database of Light-based Geospatial Income Inequality (LGII) Measures, Version 1","","Galimberti, J. K.|Pichler, S.|Pleninger, R.","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/spatialecon-lgii-measures-v1","Active","Socioeconomic Data and Applications Center",""
"vector, tabular, map, map services","10.7927/0RVR-4538","Daily and Annual PM2.5 Concentrations for the Contiguous United States, 1-km Grids, v1 (2000 - 2016)","","Di, Q.|Wei, Y.|Shtein, A.|Hultquist, C.|Xing, X.|Amini, H.|Shi, L.|Kloog, I.|Silvern, R.|Kelly, J.|Sabath, M. B.|Choirat, C.|Koutrakis, P.|Lyapustin, A.|Wang, Y.|Mickley, L. J. |Schwartz, J.","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/aqdh-pm2-5-concentrations-contiguous-us-1-km-2000-2016","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/DKF1-WJ68","Sixth Assessment Report of the Intergovernmental Panel on Climate Change Working Group II Observed and Projected Impact Assessment Database","","Intergovernmental Panel On Climate Change (IPCC)","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/ddc/impactsassess_ar6/","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/1Z4R-EZ63","Global 1-km Downscaled Urban Land Extent Projection and Base Year Grids by SSP Scenarios, 2000-2100","","Gao, J.|Pesaresi, M.","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/ssp-1-km-downscaled-urban-land-extent-projection-base-year-ssp-2000-2100","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/BZ7M-WQ98","Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), 1998-2021, V5.GL.03","","Hammer, M. S|Bindle, L.|Brauer, M.|Brook, J. R.|Garay, M. J.|Hsu, N. C.|Kalashnikova, O. V.|Kahn, R. A. |Lee, C.|Levy, R. C.|Lyapustin, A.|Sawyer, A. M.|Martin, R. V.","NASA Socioeconomic Data and Applications Center","2023","https://www.ciesin.columbia.edu/data/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod-v5-gl-03/","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4M61H5F","Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Footprint Dataset (Geographic)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/wildareas-v2-human-footprint-geographic","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/H4F47M65","Gridded Population of the World, Version 4 (GPWv4): Population Density Adjusted to Match 2015 Revision UN WPP Country Totals, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev11","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/H4PN93PB","Gridded Population of the World, Version 4 (GPWv4): Population Count Adjusted to Match 2015 Revision of UN WPP Country Totals, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev11","Active","Socioeconomic Data and Applications Center",""
"raster, map","10.7927/FX80-4N39","Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), 1998-2019, V4.GL.03","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2022","https://sedac.ciesin.columbia.edu/data/set/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod-v4-gl-03","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4BP00QC","Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Influence Index (HII) Dataset (Geographic)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/wildareas-v2-human-influence-index-geographic","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4NP22DQ","Gridded Population of the World, Version 4 (GPWv4): Population Density","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-population-density","Active","Socioeconomic Data and Applications Center",""
"tabular; map; map service","10.7927/H4JM27JZ","Effects of Climate Change on Global Food Production from SRES Emissions and Socioeconomic Scenarios","","Iglesias, A.|Rosensweig, C.","NASA Socioeconomic Data and Applications Center","2009","https://sedac.ciesin.columbia.edu/data/set/crop-climate-effects-climate-global-food-production","Active","Socioeconomic Data and Applications Center",""
"vector; map; map service","10.7927/H4N877QK","Global Reservoir and Dam Database, Version 1 (GRanDv1): Dams, Revision 01","","Lehner, B.|ReidyLiermann, C.|Revenga, C.|Vorosmarty, C.|Fekete, B.|Crouzet, P.|Doll, P.|Endejan, M.|Frenken, K.|Magome, J.|Nilsson, C.|Robertson, J.C.|Rodel, R.|Sindorf, N.","NASA Socioeconomic Data and Applications Center","2011","https://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4RF5S0P","Global Population Projection Grids Based on Shared Socioeconomic Pathways (SSPs), 2010-2100","","Jones, B.|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","https://beta.sedac.ciesin.columbia.edu/data/set/popdynamics-pop-projection-ssp-2010-2100","Active","Socioeconomic Data and Applications Center",""
"raster; map service","10.7927/H4639MPP","Gridded Population of the World, Version 3 (GPWv3): Population Count Grid","","Center For International Earth Science Information Network-CIESIN-Columbia University|United Nations Food And Agriculture Programme-FAO|Centro Internacional De Agricultura Tropical-CIAT","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-count","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/G739-5620","Documentation for the Global Subnational Infant Mortality Rates, Version 2.01","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates-v2-01/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H45Q4T5F","Documentation for the Gridded Population of the World, Version 4 (GPWv4), Revision 11 Data Sets","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/XNYY-4S75","Documentation for the Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extent Polygons, Revision 02","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/grump-v1-urban-ext-polygons-rev02/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/49VN-7351","Documentation for the Annual PM2.5 Concentrations for Urban Areas, 1998-2016","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/sdei-annual-pm2-5-concentrations-countries-urban-areas-v1-1998-2016/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/ZC4H-HH18","Documentation for the Sustainable Development Goal Indicators (SDGI) Data Sets, 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/collection/sdgi/documentation","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4MP517W","Documentation for the U.S. Census Grids (Summary File 1), 2010","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/usgrid-summary-file1-2010/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4Q23XBZ","Documentation for the Trends in Global Freshwater Availability from the Gravity Recovery and Climate Experiment (GRACE), 2002-2016","","Rodell, M.|Famiglietti, J. S.|Wiese, D. N.|Reager, J. T.|Beaudoing, H. K.|Landerer, F. W.|Lo, M.-H.","NASA Socioeconomic Data and Applications Center","2019","https://sedac.ciesin.columbia.edu/data/set/sdei-trends-freshwater-availability-grace/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/2WN9-WW02","Documentation for the Groundswell Spatial Population and Migration Projections at One-Eighth Degree According to SSPs and RCPs, 2010-2050","","Jones, B.|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2022","https://sedac.ciesin.columbia.edu/data/set/climmig-groundswell-pop-mig-proj-1-8-ssps-rcps-2010-2050/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/BB9Y-9H12","Documentation for the Yale Center for Earth Observation (YCEO) Surface Urban Heat Islands, Version 4, 2003-2018","","Chakraborty, T.|Lee, X.","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdei-yceo-sfc-uhi-v4/docs","Active","Socioeconomic Data and Applications Center",""
"vector, tabular","10.7927/EAVC-4K45","SDG Indicator 11.7.1: Urban Public Space, Availability and Access, 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdgi-11-7-1-urban-public-space-availability-access-2023","Active","Socioeconomic Data and Applications Center",""
"vector, tabular","10.7927/FCRE-M572","SDG Indicator 9.1.1: The Rural Access Index (RAI), 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2022","https://sedac.ciesin.columbia.edu/data/set/sdgi-9-1-1-rai-2023","Active","Socioeconomic Data and Applications Center",""
"vector; map; map service","10.7927/H4HH6H08","Global Reservoir and Dam Database, Version 1 (GRanDv1): Reservoirs, Revision 01","","Lehner, B.|ReidyLiermann, C.|Revenga, C.|Vorosmarty, C.|Fekete, B.|Crouzet, P.|Doll, P.|Endejan, M.|Frenken, K.|Magome, J.|Nilsson, C.|Robertson, J.C.|Rodel, R.|Sindorf, N.","NASA Socioeconomic Data and Applications Center","2011","https://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/JMC9-Q708","Groundswell Africa Spatial Population and Migration Projections at One-Eighth Degree According to SSPs and RCPs, 2010-2050","","CUNY Institute For Demographic Research-CIDR-City University Of New York|Center For International Earth Science Information Network-CIESIN-Columbia University|The World Bank","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/climmig-groundswell-africa-pop-mig-proj-1-8-ssps-rcps-2010-2050","Active","Socioeconomic Data and Applications Center",""
"vector; tabular","10.7927/GXNR-SX57","SDG Indicator 7.1.1: Access to Electricity, 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdgi-7-1-1-access-electricity-2023","Active","Socioeconomic Data and Applications Center",""
"vector, tabular","10.7927/1A5Z-3H71","SDG Indicator 11.2.1: Urban Access to Public Transport, 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdgi-11-2-1-urban-access-public-transport-2023","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H4R78C4K","Latin America and Caribbean Population Time Series","","Center For International Earth Science Information Network-CIESIN-Columbia University|University Of Puerto Rico-UPR-Rio Piedras","NASA Socioeconomic Data and Applications Center","2020","https://sedac.ciesin.columbia.edu/data/set/popdynamics-lac-pop-1990-2000","Active","Socioeconomic Data and Applications Center",""
"vector, tabular","10.7927/RJA8-8H89","Annual PM2.5 Concentrations for Urban Areas, 1998-2016","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/sdei-annual-pm2-5-concentrations-countries-urban-areas-v1-1998-2016","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4R49NQV","Global Drought Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University; Center For International Earth Science Information Network-CIESIN-Columbia University; International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-drought-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"tabular; map; map service","10.7927/H4F769GP","National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE III)","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2012","https://sedac.ciesin.columbia.edu/data/set/nagdc-population-landscape-climate-estimates-v3","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/HVGH-G750","Natural Resource Protection and Child Health Indicators, 2023 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2023","https://www.ciesin.columbia.edu/data/nrpi-chi-2023/","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4GF0RFQ","Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Footprint Dataset (IGHP)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/wildareas-v2-human-footprint-ighp","Active","Socioeconomic Data and Applications Center",""
"raster; map; web map service","10.7927/H4CC0XNV","Global Population Count Grid Time Series Estimates","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","https://sedac.ciesin.columbia.edu/data/set/popdynamics-global-pop-count-time-series-estimates","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4BG2KXS","Gridded Population of the World, Version 4 (GPWv4): Population Count, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster, map","10.7927/H4154F0W","Global Human Settlement Layer: Population and Built-Up Estimates, and Degree of Urbanization Settlement Model Grid","","Joint Research Centre-JRC-European Commission|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/ghsl-population-built-up-estimates-degree-urban-smod","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4JQ0XZW","Gridded Population of the World, Version 4 (GPWv4): Population Count Adjusted to Match 2015 Revision of UN WPP Country Totals, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev10","Active","Socioeconomic Data and Applications Center",""
"vector; raster","10.7927/S5M5-ZK14","Yale Center for Earth Observation (YCEO) Surface Urban Heat Islands, Version 4, 2003-2018","","Chakraborty, T.|Lee, X.","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdei-yceo-sfc-uhi-v4","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/PZV8-TA24","Sixth Assessment Report of the Intergovernmental Panel on Climate Change Risk Assessment Database","","Intergovernmental Panel On Climate Change (IPCC)","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/ddc/riskassess_ar6/","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4ST7MRB","Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates","","Center For International Earth Science Information Network-CIESIN-Columbia University|Centro Internacional De Agricultura Tropical-CIAT","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/HFF0-K565","Annual Global High-Resolution Extreme Heat Estimates","","Tuholske, C.|Peterson, P.|Funk, C.|Caylor, K.","NASA Socioeconomic Data and Applications Center","2023","https://sedac.ciesin.columbia.edu/data/set/sdei-high-res-extreme-heat-estimates-1983-2016","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H4RJ4GCJ","West Africa Coastal Vulnerability Mapping: Mangrove Forests Distribution, 2000 Polygon","","Giri, C.|Ochieng, E.|Tieszen, L.L.|Zhu, Z.|Singh, A.|Loveland, T.|Masek, J.|Duke, N.","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-mangrove-forests-distribution-2000-polygon","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4125QK5","West Africa Coastal Vulnerability Mapping: Subset of Global Mammal and Amphibian Richness Grids, 2015 Release","","International Union For Conservation Of Nature IUCN|Center For International Earth Science Information Network-CIESIN-Columbia University?","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-subset-mammal-amphibian-richness-grids-2015","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4222RQJ","West Africa Coastal Vulnerability Mapping: Subset of DMSP-OLS Nighttime Lights for Economic Activity, 2010","","National Oceanic And Atmospheric Administration -NOAA|National Geophysical Data Center-NGDC","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-subset-dmsp-ols-nighttime-lights-economic-activity-2010","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H44T6G9K","West Africa Coastal Vulnerability Mapping: Gridded Subset of Sub-national Poverty and Extreme Poverty Prevalence","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-subset-subnational-poverty-extreme-prevalence","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H45T3HFZ","West Africa Coastal Vulnerability Mapping: Demographic and Health Survey Data Sets","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-demographic-health-survey","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H48K7719","West Africa Coastal Vulnerability Mapping: Population Projections, 2030 and 2050","","Jones, B.","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-population-projections-2030-2050","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H49K485P","West Africa Coastal Vulnerability Mapping: Commercial Crop Production, 2000","","Center For International Earth Science Information Network-CIESIN- Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/wacvm-commercial-crop-production-2000","Active","Socioeconomic Data and Applications Center",""
