"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"Data Files","10.3334/ORNLDAAC/1414","AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Tonzi Ranch, 2012-2015","","CHAPIN, E.|FLORES, S.|HARCKE, L.|HAWKINS, B.P.|HENSLEY, S.|MICHEL, T.R.|MUELLERSCHOEN, R.J.|SHIMADA, J.G.|TUNG, W.W.|VEERAMACHANENI, C.","NASA Oak Ridge National Laboratory DAAC","2018","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1414","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1415","AirMOSS: L1 S-0 Polarimetric Data from AirMOSS P-band SAR, Walnut Gulch, 2012-2015","","CHAPIN, E.|FLORES, S.|HARCKE, L.|HAWKINS, B.P.|HENSLEY, S.|MICHEL, T.R.|MUELLERSCHOEN, R.J.|SHIMADA, J.G.|TUNG, W.W.|VEERAMACHANENI, C.","NASA Oak Ridge National Laboratory DAAC","2018","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1415","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1416","AirMOSS: L2 Hourly In-Ground Soil Moisture at AirMOSS Sites, 2011-2015","","HAGIMOTO, Y.|CUENCA, R.|AirMOSS Science Team","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1416","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1417","AirMOSS: L2 Hourly Precipitation at AirMOSS Sites, 2011-2015","","CUENCA, R.|HAGIMOTO, Y.|AirMOSS Science Team","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1417","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1418","AirMOSS: L2/3 Volumetric Soil Moisture Profiles Derived From Radar, 2012-2015","","MOGHADDAM, M.|TABATABAEENEJAD, A.|CHEN, R.H.|SAATCHI, S.S.|JARUWATANADILOK, S.|BURGIN, M.|DUAN, X.|TRUONG-LOI, M.L.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1418","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1419","CARVE: L2 Atmospheric CO2, CO, and CH4 Concentrations, CARVE Tower, Alaska, 2011-2015","","MILLER, J.B.|SWEENEY, C.|KARION, A.|MILLER, C.E.","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1419","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/142","Forest Biophysical Parameters (SNF)","","HALL, F.G.|HUEMMRICH, K.F.|STREBEL, D.E.|GOETZ, S.J.|NICKESON, J.E.|WOODS, K.D.","NASA Oak Ridge National Laboratory DAAC","1996","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=142","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1420","AirMOSS: L2 Airborne Carbon Flux at Selected AirMOSS Sites, 2012-2014","","CAULTON, D.R.|SALMON, O.E.|Shepson, P.B.|HAJNY, K.D.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1420","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1421","AirMOSS: L4 Modeled Volumetric Root Zone Soil Moisture, 2012-2015","","CROW, W.T.|Milak, S.|REICHLE, R.H.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1421","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1422","AirMOSS: L4 Daily Modeled Net Ecosystem Exchange (NEE), AirMOSS sites, 2012-2014","","ZHANG, K.|ALI, A.A.|Antonarakis, A.|MOORCROFT, P.R.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1422","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1423","AirMOSS: L4 Modeled Net Ecosystem Exchange (NEE), Continental USA, 2012-2014","","ALI, A.A.|ZHANG, K.|Antonarakis, A.|MOORCROFT, P.R.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1423","Active","Oak Ridge National Laboratory DAAC",""
